Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-05-09,38.25036476163601,47.36897891976788,38.25036476163601,46.1266975402832,4351770,0.0,0.0
2005-05-10,46.11389617021796,46.52799112454658,45.67845809621248,46.169395446777344,2217750,0.0,0.0
2005-05-11,45.57172998980941,45.849216584941196,45.08079266873005,45.6784553527832,3011760,0.0,0.0
2005-05-12,45.67844996246557,46.09681476903323,45.0082148923617,45.19605255126953,4252370,0.0,0.0
2005-05-13,44.99540626000686,45.72113730573315,44.99540626000686,45.507686614990234,2676810,0.0,0.0
2005-05-16,46.019982858498025,46.27612310629487,45.635770858302784,46.07120895385742,1187710,0.0,0.0
2005-05-17,47.368982567383874,47.368982567383874,45.67845328523745,45.83213806152344,494240,0.0,0.0
2005-05-18,45.84067418828626,45.849214040770065,45.12347965861949,45.6741828918457,2217250,0.0,0.0
2005-05-19,46.51518583641047,46.53226228680524,46.01998180296147,46.37004089355469,1979140,0.0,0.0
2005-05-20,45.7723704652358,46.44260555984169,45.76383061297368,45.90470886230469,504560,0.0,0.0
2005-05-23,45.9345895008336,47.17260419908732,45.9345895008336,46.95488357543945,1087860,0.0,0.0
2005-05-24,46.96768652748495,47.28786254975748,45.67844584421377,46.66032028198242,711110,0.0,0.0
2005-05-25,46.720090225304965,46.720090225304965,45.86201749995007,46.1266975402832,1429890,0.0,0.0
2005-05-26,46.56149335540868,46.910186908158366,45.66177347245146,46.31611251831055,4656050,0.45,0.0
2005-05-27,46.36346294159424,46.81116995433862,46.15252516590186,46.5485725402832,2030150,0.0,0.0
2005-05-30,46.33763496392552,46.66480610625309,45.889927949255195,46.509830474853516,914290,0.0,0.0
2005-05-31,46.837002157917894,46.837002157917894,45.97602787769408,46.4538688659668,1860770,0.0,0.0
2005-06-01,46.62175421247093,46.70785031867081,45.976023562904054,46.14391326904297,1681810,0.0,0.0
2005-06-02,46.6648134359768,46.76382365337167,46.169752495932286,46.471092224121094,1491210,0.0,0.0
2005-06-03,46.492614807846344,47.09529750852305,46.10517569424299,46.991981506347656,1653760,0.0,0.0
2005-06-06,46.79395186542579,47.956269140397936,46.59162566389678,47.63340377807617,2345180,0.0,0.0
2005-06-07,47.63340385932377,51.6541522684713,47.181391037559784,50.65542221069336,5501720,0.0,0.0
2005-06-08,50.9696785501712,51.21075030002389,50.108704261433026,50.44017791748047,3545220,0.0,0.0
2005-06-09,50.62529843390529,50.668346500750545,49.50603227414387,49.859031677246094,2000680,0.0,0.0
2005-06-10,49.9365176931322,50.71139600556148,49.07554325014716,49.617958068847656,3302450,0.0,0.0
2005-06-13,50.28090409268048,50.36700021520317,48.92056302319753,50.13453674316406,1601210,0.0,0.0
2005-06-14,50.28090058734959,51.21936270859083,50.10870506995228,51.09882354736328,2422830,0.0,0.0
2005-06-15,52.26975931011886,52.26975931011886,49.93651928356354,50.896507263183594,2332550,0.0,0.0
2005-06-16,50.969685879152024,51.57236862480034,50.79749033977297,51.266719818115234,16902140,0.0,0.0
2005-06-17,51.65845967488418,51.74455579393308,50.62528982451521,51.413082122802734,1969830,0.0,0.0
2005-06-20,51.63693975441075,51.65846542874878,51.064394258686605,51.53792953491211,2239620,0.0,0.0
2005-06-21,51.27101423621124,52.08894040355143,50.98258866023867,51.88230514526367,3704950,0.0,0.0
2005-06-22,51.994240167446705,51.994240167446705,50.37130497228869,50.80179214477539,2354190,0.0,0.0
2005-06-23,51.52070284256576,51.52070284256576,49.50602282576056,49.983863830566406,2488640,0.0,0.0
2005-06-24,50.36700270103756,50.569332211743934,49.34244434128231,50.14745330810547,1706020,0.0,0.0
2005-06-27,49.936511706982394,51.951191793431455,49.936511706982394,51.628326416015625,3216400,0.0,0.0
2005-06-28,51.47335006766242,51.47335006766242,50.13022893362568,50.7974853515625,1771690,0.0,0.0
2005-06-29,51.20214772876754,52.51082918813694,50.797488716809006,51.79621887207031,6495530,0.0,0.0
2005-06-30,51.796208359990196,55.35633527444458,51.796208359990196,54.762264251708984,11638930,0.0,0.0
2005-07-01,53.05754495176774,53.81089751700581,52.777727627808,53.212520599365234,2249930,0.0,0.0
2005-07-04,53.634400568479904,54.67187633366513,53.380414687988,54.409278869628906,2238610,0.0,0.0
2005-07-05,52.71314787544308,55.09374446865257,46.31180633967529,54.50828170776367,1476640,0.0,0.0
2005-07-06,54.49968174767122,55.96333896201055,54.00031827710654,55.66630172729492,2335230,0.0,0.0
2005-07-07,55.541456510059625,56.996498677867244,54.58577446720698,55.14971160888672,6522690,0.0,0.0
2005-07-08,55.446746302460554,56.3077206035276,55.296073172288764,56.11830520629883,1537450,0.0,0.0
2005-07-11,56.43686897087394,57.59918298228128,56.393817627642555,57.16438674926758,2226590,0.0,0.0
2005-07-12,57.082594831508594,57.68527417299532,55.804047557550454,56.656410217285156,3300020,0.0,0.0
2005-07-13,56.65211190542644,56.65211190542644,54.84406389402728,55.34773635864258,3490020,0.0,0.0
2005-07-14,55.34774115090472,56.39382186923723,54.155289795804045,55.55006408691406,6839700,0.0,0.0
2005-07-15,55.532835250996,55.532835250996,53.991690662761705,54.293033599853516,2503180,0.0,0.0
2005-07-18,54.49966649978632,54.930153602129586,53.72479168618201,54.04765701293945,5076050,0.0,0.0
2005-07-19,54.6718719272978,55.1023591078277,54.361920631819224,55.080833435058594,2455090,0.0,0.0
2005-07-20,55.36064798220183,58.115763008450855,54.80101339504465,55.2228889465332,2777350,0.0,0.0
2005-07-21,55.524228821506966,55.864317336565136,52.713148356038886,55.2401123046875,804090,0.0,0.0
2005-07-22,54.84406425249382,55.946113603633165,52.79925026443097,55.83418273925781,6066580,0.0,0.0
2005-07-25,55.76530667559016,59.8377183082409,55.76530667559016,58.08563232421875,13101450,0.0,0.0
2005-07-26,58.11576247041887,59.23503163437112,58.02966635827923,58.39557647705078,7742350,0.0,0.0
2005-07-27,58.546259265057316,61.64576579475885,57.457127173344134,60.715911865234375,6774770,0.0,0.0
2005-07-28,60.715911865234375,60.715911865234375,60.715911865234375,60.715911865234375,0,0.0,0.0
2005-07-29,60.26820575117495,62.851128854796734,58.55055952252974,60.22085189819336,21877180,0.0,0.0
2005-08-01,59.398605792343,59.92380055838587,57.68526904357168,58.244903564453125,3061880,0.0,0.0
